Close_nvidia,Volume_nvidia,Close_bitcoin,Volume_bitcoin
102.01,37549876,1043.839966,185168000.0
104.39,29980506,1154.72998,344945984.0
101.74,24607382,1013.380005,510199008.0
103.1,20571416,902.200989,351876000.0
107.28,22906225,902.828003,141876992.0
106.47,22022969,907.679016,115808000.0
105.16,13141588,777.757019,310928992.0
103.44,15640414,804.833984,222326000.0
103.43,11445543,823.984009,168968000.0
101.11,14515259,907.937988,155095008.0
102.95,16360615,886.617981,225676992.0
105.16,16121778,899.072998,105625000.0
104.01,12300557,895.026001,86728400.0
105.09,9247639,921.012024,73588600.0
107.33,10701271,892.687012,111349000.0
107.79,13084499,901.541992,120831000.0
109.65,11469970,917.585999,131958000.0
111.77,11799929,919.75,125594000.0
110.02,12400084,920.382019,78227296.0
109.18,9068865,970.403015,164582000.0
113.95,14750082,989.02301,150110000.0
115.39,12081040,1011.799988,145820992.0
114.38,9318633,1029.910034,201278000.0
117.31,12669205,1038.150024,111762000.0
119.13,18655567,1061.349976,146007008.0
118.61,11239487,1063.069946,201855008.0
116.38,21064178,994.382996,407220000.0
113.62,41277341,988.674011,190452000.0
108.38,29518071,990.642029,100607000.0
108.78,21265787,1004.549988,137946000.0
109.0,9325512,1007.47998,89759400.0
107.25,16179386,1027.439941,122277000.0
107.23,14093465,1046.209961,136474000.0
111.07,13798783,1115.300049,186868992.0
110.76,10844256,1117.439941,136100000.0
100.49,39822213,1166.719971,189454000.0
101.46,25747597,1173.680054,330759008.0
104.41,17885019,1179.969971,131570000.0
101.48,15633968,1179.969971,184956000.0
102.79,12620139,1222.5,229056992.0
99.0,18858278,1251.01001,368275008.0
98.43,21636424,1274.98999,315739008.0
97.67,22089169,1272.829956,153656992.0
98.74,15085007,1223.540039,291256000.0
98.56,15967822,1150.0,332603008.0
98.54,11951471,1188.48999,212283008.0
99.12,12493513,1116.719971,563795968.0
101.85,19353402,1231.920044,380276992.0
101.78,13050415,1240.0,245306000.0
102.55,15375852,1249.609985,297804992.0
103.81,13077495,1187.810059,638568000.0
106.07,27992169,1100.22998,706598976.0
109.45,18714152,1054.22998,286529984.0
105.91,22837103,1120.540039,337391008.0
108.07,15419106,1049.140015,380840992.0
107.09,13348542,1038.589966,248540000.0
107.47,10987546,937.52002,491038016.0
108.25,12666100,1045.77002,372535008.0
107.69,10811109,1047.150024,326332000.0
107.34,8749791,1039.969971,298457984.0
109.4,13138349,1026.430054,352968992.0
108.93,11020165,1071.790039,447287008.0
108.38,11130813,1143.810059,580444032.0
100.78,31782004,1133.25,436310016.0
100.03,18676232,1124.780029,414784000.0
100.76,15878004,1182.680054,511222016.0
100.33,10628889,1176.900024,317022016.0
97.77,18908264,1187.130005,215883008.0
98.12,15453747,1205.01001,216182000.0
97.31,10352296,1200.369995,288702016.0
95.49,12672345,1169.280029,351968992.0
99.23,12432305,1193.910034,253206000.0
99.29,9252944,1211.670044,270524000.0
99.68,9520659,1210.290039,288060992.0
101.26,10100358,1229.079956,315108000.0
101.68,8547390,1222.050049,272167008.0
102.95,9286617,1250.150024,235806000.0
104.74,9670204,1265.48999,242556000.0
104.02,8017754,1281.079956,329631008.0
105.64,7887565,1317.72998,449196992.0
104.3,8603278,1316.47998,527488992.0
106.64,7558886,1421.599976,713624000.0
103.48,15545050,1452.819946,477337984.0
104.25,8355157,1490.089966,583795968.0
103.85,5211879,1537.670044,933548992.0
103.86,5684394,1555.449951,946035968.0
102.77,9040663,1723.349976,1340320000.0
102.94,13796401,1755.359985,1167920000.0
121.29,53227434,1787.130005,915723008.0
126.5,48167998,1848.569946,799489984.0
127.89,23993187,1724.23999,740984000.0
134.31,26919505,1738.430054,731529024.0
136.81,27909305,1734.449951,959044992.0
127.72,31444976,1839.089966,1064729984.0
133.07,28661989,1888.650024,894321024.0
136.0,25222948,1987.709961,1157289984.0
138.9,20786477,2173.399902,1942220032.0
137.03,16911578,2320.419922,1378749952.0
138.57,20376569,2443.639893,1725379968.0
138.26,15064741,2304.97998,2406700032.0
141.84,19300323,2202.419922,1763480064.0
144.87,24580778,2175.469971,1443970048.0
144.35,21643194,2286.409912,1544829952.0
144.36,12462061,2407.879883,1653180032.0
143.64,12140804,2488.550049,1317030016.0
148.01,20311623,2686.810059,1369309952.0
147.34,18743334,2863.199951,2089609984.0
149.12,15057318,2732.159912,1517709952.0
159.94,28475455,2805.620117,1281170048.0
149.6,92323200,2823.810059,1348950016.0
149.97,41793262,2659.629883,2569530112.0
151.4,41488612,2717.02002,1781200000.0
151.72,29431459,2506.370117,1696560000.0
152.37,23883179,2464.580078,2026259968.0
151.62,22554327,2518.560059,1195190016.0
157.32,19260255,2589.600098,1446840064.0
157.09,27169647,2721.790039,1854189952.0
159.47,16945632,2689.100098,1626579968.0
158.37,11596308,2705.409912,1097939968.0
